Variant,Scenario,FAR,FRR,EER,Accuracy,Features
accel,Cross-Day,0.0227315100360207,0.202987571499783,0.0884651920501477,0.797183098591549,45
gyro,Cross-Day,0.0441820556076575,0.396074869533133,0.194926551207297,0.608450704225352,45
combined,Cross-Day,0.0135545973747348,0.12040239839356,0.0445025923186138,0.884507042253521,112
