User,FAR,FRR,EER
1,0.019220569031733,0.103663774287398,0.0430359937402191
2,0.0181725783168867,0.0582559544429133,0.028169014084507
3,0.00666814993808751,0.164417820661219,0.0375586854460094
4,0.00186378999630432,0.0967074190795641,0.0203442879499218
5,0.0122588940740803,0.136944442097497,0.0579029733959311
6,0.0141242487026854,0.193124755330623,0.0860719874804382
7,0.0235940292379709,0.0001999600079984,0.00625978090766823
8,0.00731027503419518,0.143988103787693,0.0555555555555556
9,0.0282650825077557,0.162519608754304,0.0805946791862285
10,0.00882671665979788,0.187100608047406,0.0446009389671362
